dataset,track_id,file_or_stem,audio_path,ref_beats_path,has_ref_beats,num_ref_beats,num_est_beats,beat_fmeasure,status,note
gtzan_genre,rock.00075,rock.00075,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00075.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00075.beats,true,60,60,1.0,ok,
gtzan_genre,disco.00092,disco.00092,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00092.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00092.beats,true,58,58,1.0,ok,
gtzan_genre,country.00031,country.00031,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00031.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00031.beats,true,55,55,1.0,ok,
gtzan_genre,rock.00031,rock.00031,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00031.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00031.beats,true,60,59,0.991597,ok,
gtzan_genre,disco.00054,disco.00054,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00054.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00054.beats,true,57,57,1.0,ok,
gtzan_genre,reggae.00035,reggae.00035,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00035.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00035.beats,true,82,82,1.0,ok,
gtzan_genre,rock.00081,rock.00081,dataset\mirdata_gtzan_genre\gtzan_genre\genres\rock\rock.00081.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_rock_00081.beats,true,60,60,1.0,ok,
gtzan_genre,pop.00018,pop.00018,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00018.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00018.beats,true,61,61,1.0,ok,
gtzan_genre,disco.00002,disco.00002,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00002.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00002.beats,true,113,57,0.647059,ok,
gtzan_genre,classical.00009,classical.00009,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00009.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00009.beats,true,30,28,0.206897,ok,
gtzan_genre,jazz.00008,jazz.00008,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00008.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00008.beats,true,55,55,1.0,ok,
gtzan_genre,pop.00053,pop.00053,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00053.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00053.beats,true,33,30,0.285714,ok,
gtzan_genre,jazz.00076,jazz.00076,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00076.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00076.beats,true,31,31,0.935484,ok,
gtzan_genre,blues.00006,blues.00006,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00006.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00006.beats,true,37,37,0.891892,ok,
gtzan_genre,reggae.00046,reggae.00046,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00046.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00046.beats,true,85,42,0.661417,ok,
gtzan_genre,country.00043,country.00043,dataset\mirdata_gtzan_genre\gtzan_genre\genres\country\country.00043.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_country_00043.beats,true,69,69,1.0,ok,
gtzan_genre,disco.00059,disco.00059,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00059.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00059.beats,true,63,63,1.0,ok,
gtzan_genre,pop.00009,pop.00009,dataset\mirdata_gtzan_genre\gtzan_genre\genres\pop\pop.00009.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_pop_00009.beats,true,51,52,0.990291,ok,
gtzan_genre,blues.00034,blues.00034,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00034.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00034.beats,true,47,47,0.914894,ok,
gtzan_genre,blues.00054,blues.00054,dataset\mirdata_gtzan_genre\gtzan_genre\genres\blues\blues.00054.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_blues_00054.beats,true,91,46,0.656934,ok,
gtzan_genre,disco.00099,disco.00099,dataset\mirdata_gtzan_genre\gtzan_genre\genres\disco\disco.00099.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_disco_00099.beats,true,61,62,0.99187,ok,
gtzan_genre,jazz.00059,jazz.00059,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00059.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00059.beats,true,54,54,0.944444,ok,
gtzan_genre,jazz.00021,jazz.00021,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00021.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00021.beats,true,61,76,0.364964,ok,
gtzan_genre,reggae.00073,reggae.00073,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00073.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00073.beats,true,42,42,1.0,ok,
gtzan_genre,reggae.00074,reggae.00074,dataset\mirdata_gtzan_genre\gtzan_genre\genres\reggae\reggae.00074.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_reggae_00074.beats,true,42,42,0.97619,ok,
gtzan_genre,jazz.00091,jazz.00091,dataset\mirdata_gtzan_genre\gtzan_genre\genres\jazz\jazz.00091.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_jazz_00091.beats,true,29,29,0.931034,ok,
gtzan_genre,classical.00037,classical.00037,dataset\mirdata_gtzan_genre\gtzan_genre\genres\classical\classical.00037.wav,dataset\mirdata_gtzan_genre\gtzan_tempo_beat-main\beats\gtzan_classical_00037.beats,true,65,37,0.333333,ok,
